Year,Period,labor force,employment,unemployment,unemployment rate
2008,Jan,2080703,1993471,87232,4.2
2008,Feb,2074130,1991054,83076,4
2008,Mar,2077073,1988239,88834,4.3
2008,Apr,2076947,1989849,87098,4.2
2008,May,2075731,1979651,96080,4.6
2008,Jun,2091898,1978204,113694,5.4
2008,Jul,2088142,1965921,122221,5.9
2008,Aug,2099273,1966181,133092,6.3
2008,Sep,2108455,1971910,136545,6.5
2008,Oct,2116651,1978295,138356,6.5
2008,Nov,2116507,1973787,142720,6.7
2008,Dec,2111142,1958144,152998,7.2
2009,Jan,2096416,1929842,166574,7.9
2009,Feb,2098908,1928190,170718,8.1
2009,Mar,2095447,1918768,176679,8.4
2009,Apr,2097848,1923204,174644,8.3
2009,May,2088671,1908015,180656,8.6
2009,Jun,2102679,1903307,199372,9.5
2009,Jul,2099217,1893012,206205,9.8
2009,Aug,2092307,1878273,214034,10.2
2009,Sep,2091496,1875567,215929,10.3
2009,Oct,2091196,1875513,215683,10.3
2009,Nov,2093434,1883069,210365,10
2009,Dec,2073004,1866026,206978,10
2010,Jan,2086999,1869615,217384,10.4
2010,Feb,2085061,1874869,210192,10.1
2010,Mar,2082818,1878510,204308,9.8
2010,Apr,2088559,1892588,195971,9.4
2010,May,2072830,1880880,191950,9.3
2010,Jun,2074740,1873990,200750,9.7
2010,Jul,2067284,1863136,204148,9.9
2010,Aug,2068451,1863279,205172,9.9
2010,Sep,2069944,1870834,199110,9.6
2010,Oct,2063415,1873228,190187,9.2
2010,Nov,2063819,1873822,189997,9.2
2010,Dec,2055631,1873316,182315,8.9
2011,Jan,2050265,1861415,188850,9.2
2011,Feb,2045922,1865691,180231,8.8
2011,Mar,2048701,1873061,175640,8.6
2011,Apr,2044766,1874253,170513,8.3
2011,May,2034637,1868695,165942,8.2
2011,Jun,2052959,1855523,197436,9.6
2011,Jul,2038549,1847043,191506,9.4
2011,Aug,2036984,1850762,186222,9.1
2011,Sep,2043558,1864723,178835,8.8
2011,Oct,2047387,1876642,170745,8.3
2011,Nov,2043586,1885736,157850,7.7
2011,Dec,2044188,1887097,157091,7.7
2012,Jan,2036906,1874555,162351,8
2012,Feb,2041810,1885876,155934,7.6
2012,Mar,2042052,1891035,151017,7.4
2012,Apr,2036807,1891991,144816,7.1
2012,May,2039325,1890486,148839,7.3
2012,Jun,2047660,1886259,161401,7.9
2012,Jul,2041751,1878124,163627,8
2012,Aug,2038856,1880089,158767,7.8
2012,Sep,2050386,1903003,147383,7.2
2012,Oct,2055937,1913210,142727,6.9
2012,Nov,2048615,1913745,134870,6.6
2012,Dec,2051779,1914778,137001,6.7
2013,Jan,2047909,1901053,146856,7.2
2013,Feb,2046664,1911346,135318,6.6
2013,Mar,2048120,1912337,135783,6.6
2013,Apr,2047178,1916742,130436,6.4
2013,May,2049227,1916595,132632,6.5
2013,Jun,2060897,1912777,148120,7.2
2013,Jul,2048281,1904422,143859,7
2013,Aug,2053043,1906027,147016,7.2
2013,Sep,2067133,1924789,142344,6.9
2013,Oct,2055478,1919452,136026,6.6
2013,Nov,2070898,1944685,126213,6.1
2013,Dec,2070527,1946512,124015,6
2014,Jan,2083544,1953341,130203,6.2
2014,Feb,2090539,1964689,125850,6
2014,Mar,2110839,1982414,128425,6.1
2014,Apr,2092760,1980626,112134,5.4
2014,May,2098642,1978109,120533,5.7
2014,Jun,2111943,1981287,130656,6.2
2014,Jul,2108422,1975893,132529,6.3
2014,Aug,2114848,1982457,132391,6.3
2014,Sep,2131377,2003395,127982,6
2014,Oct,2143771,2021500,122271,5.7
2014,Nov,2154697,2035751,118946,5.5
2014,Dec,2147559,2033919,113640,5.3
2015,Jan,2158811,2034569,124242,5.8
2015,Feb,2159210,2045728,113482,5.3
2015,Mar,2163604,2050610,112994,5.2
2015,Apr,2163224,2056049,107175,5
2015,May,2170359,2060911,109448,5
2015,Jun,2176480,2057488,118992,5.5
2015,Jul,2177799,2058016,119783,5.5
2015,Aug,2180852,2062225,118627,5.4
2015,Sep,2189354,2073948,115406,5.3
2015,Oct,2198790,2087268,111522,5.1
2015,Nov,2208934,2101642,107292,4.9
2015,Dec,2204807,2101329,103478,4.7
2016,Jan,2214365,2105712,108653,4.9
2016,Feb,2226751,2123264,103487,4.6
2016,Mar,2237825,2131239,106586,4.8
2016,Apr,2226368,2124317,102051,4.6
2016,May,2227000,2127634,99366,4.5
2016,Jun,2236652,2126152,110500,4.9
2016,Jul,2243295,2132749,110546,4.9
2016,Aug,2245966,2137298,108668,4.8
2016,Sep,2263337,2154421,108916,4.8
2016,Oct,2265787,2162529,103258,4.6
2016,Nov,2277860,2180458,97402,4.3
2016,Dec,2268415,2172226,96189,4.2
2017,Jan,2282271,2174954,107317,4.7
2017,Feb,2296293,2193379,102914,4.5
2017,Mar,2304595,2203637,100958,4.4
2017,Apr,2303058,2208570,94488,4.1
2017,May,2297142,2202374,94768,4.1
2017,Jun,2310540,2208812,101728,4.4
2017,Jul,2317407,2215506,101901,4.4
2017,Aug,2318246,2215958,102288,4.4
2017,Sep,2343391,2244514,98877,4.2
2017,Oct,2334082,2240720,93362,4
2017,Nov,2352905,2259862,93043,4
2017,Dec,2346179,2252445,93734,4
2018,Jan,2358233,2254317,103916,4.4
2018,Feb,2383191,2282747,100444,4.2
2018,Mar,2386454,2288154,98300,4.1
2018,Apr,2380015,2286777,93238,3.9
2018,May,2382341,2291580,90761,3.8
2018,Jun,2397485,2292952,104533,4.4
2018,Jul,2410267,2306538,103729,4.3
2018,Aug,2403041,2297320,105721,4.4
2018,Sep,2431209,2327702,103507,4.3
2018,Oct,2440085,2338006,102079,4.2
2018,Nov,2459584,2357448,102136,4.2
2018,Dec,2460986,2354244,106742,4.3
2019,Jan,2471289,2347408,123881,5
2019,Feb,2469839,2366730,103109,4.2
2019,Mar,2461718,2361436,100282,4.1
2019,Apr,2450501,2359228,91273,3.7
2019,May,2464110,2365751,98359,4
2019,Jun,2506366,2391380,114986,4.6
2019,Jul,2514255,2392982,121273,4.8
2019,Aug,2507617,2389376,118241,4.7
