Date,Value
2019-07-31,12.51
2019-06-30,12.59
2019-05-31,12.69
2019-04-30,15.18
2019-03-31,15.22
2019-02-28,15.25
2019-01-31,15.27
2018-12-31,15.25
2018-11-30,15.31
2018-10-31,15.58
2018-09-30,15.62
2018-08-31,15.49
2018-07-31,15.36
2018-06-30,15.27
2018-05-31,15.13
2018-04-30,14.98
2018-03-31,14.92
2018-02-28,14.91
2018-01-31,14.9
2017-12-31,14.9
2017-11-30,15.01
2017-10-31,14.87
2017-09-30,14.7
2017-08-31,14.58
2017-07-31,14.54
2017-06-30,14.54
2017-05-31,14.48
2017-04-30,14.52
2017-03-31,14.55
2017-02-28,14.53
2017-01-31,14.51
2016-12-31,14.45
2016-11-30,14.35
2016-10-31,14.19
2016-09-30,14.09
2016-08-31,14.0
2016-07-31,13.97
2016-06-30,13.88
2016-05-31,13.87
2016-04-30,13.93
2016-03-31,13.95
2016-02-29,13.96
2016-01-31,14.0
2015-12-31,14.08
2015-11-30,14.18
2015-10-31,14.04
2015-09-30,13.89
2015-08-31,13.7
2015-07-31,13.66
2015-06-30,13.69
2015-05-31,13.7
2015-04-30,13.72
2015-03-31,13.77
2015-02-28,13.78
2015-01-31,13.74
2014-12-31,13.7
2014-11-30,13.64
2014-10-31,13.56
2014-09-30,13.57
2014-08-31,13.59
2014-07-31,13.69
2014-06-30,13.78
2014-05-31,13.8
2014-04-30,13.85
2014-03-31,13.82
2014-02-28,13.82
2014-01-31,13.85
2013-12-31,13.79
2013-11-30,13.75
2013-10-31,13.6
2013-09-30,13.65
2013-08-31,13.53
2013-07-31,13.35
2013-06-30,13.08
2013-05-31,12.84
2013-04-30,12.62
2013-03-31,12.43
2013-02-28,12.29
2013-01-31,12.2
2012-12-31,12.04
2012-11-30,11.97
2012-10-31,11.84
2012-09-30,11.6
2012-08-31,11.38
2012-07-31,11.15
2012-06-30,10.96
2012-05-31,10.77
2012-04-30,10.57
2012-03-31,10.44
2012-02-29,10.25
2012-01-31,10.11
2011-12-31,10.01
2011-11-30,9.91
2011-10-31,9.74
2011-09-30,9.69
2011-08-31,9.61
2011-07-31,9.62
2011-06-30,9.67
2011-05-31,9.76
2011-04-30,9.82
2011-03-31,9.81
2011-02-28,9.64
2011-01-31,9.54
2010-12-31,9.49
2010-11-30,9.63
2010-10-31,9.76
