Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,1478.8,1502.2,1512,1521.9,1521.8,1513.3,1503.9,1512.4,1536.5,1548.8,1563.2,1576.1
2000,1533.6,1557.4,1569.6,1572.4,1582.6,1563.6,1544.3,1563.9,1591.8,1602.1,1615.9,1631
2001,1581.2,1605.9,1616.8,1611.1,1607.1,1588.7,1565.8,1583.3,1598,1601,1602.9,1606.7
2002,1567.2,1582.2,1593.6,1606.5,1602.5,1590.8,1563.4,1586.7,1598.4,1609.7,1633.6,1632.8
2003,1588.6,1607.8,1616.2,1622.7,1624.8,1606.5,1584.1,1611.1,1623.7,1644.5,1658.6,1669.7
2004,1628.2,1650,1664.2,1678.7,1680.9,1666.2,1656.5,1677.2,1696.7,1726.8,1742.6,1758.6
2005,1716.5,1744.7,1760.5,1785.1,1787.2,1770.5,1763.8,1790,1818.7,1827.2,1850,1862.4
2006,1831.4,1863.9,1881.2,1885.1,1893.2,1873.5,1856.7,1881.7,1902.8,1910.1,1924.4,1931.9
2007,1884.8,1911.2,1924,1917.2,1922.3,1901.9,1885.1,1914.3,1925.7,1935.3,1946.7,1947.7
2008,1900.9,1912.8,1909.7,1900.8,1894.1,1855.2,1822.3,1853.2,1858,1852.6,1849.7,1837.2
2009,1777,1772.4,1765,1751.1,1738.9,1694.3,1671.2,1683.8,1695.9,1703.7,1715.9,1716.1
2010,1676.7,1689.3,1699.4,1704.4,1708.6,1664.8,1647.5,1670.1,1681.6,1705.9,1723,1728.3
2011,1692.9,1707.9,1718.2,1727,1724,1680,1665.3,1702.1,1724.8,1738.5,1758.4,1761.9
2012,1731.5,1746.1,1758.9,1760.1,1757.7,1726.9,1706.9,1746.9,1768.6,1785.9,1809.4,1817.2
2013,1779.1,1797.2,1806.8,1812.4,1810.7,1776.5,1761.3,1798.1,1816.6,1838,1864.8,1869.7
2014,1827.5,1842.1,1849.3,1854.6,1843,1812.6,1796.2,1837.2,1855.4,1883.3,1907.8,1918.6
2015,1878.6,1896.9,1902.2,1910.7,1904.1,1870.7,1864.9,1900,1922.5,1956.3,1981.6,1984.6
2016,1944.9,1965.9,1972.8,1982,1971.2,1932,1931.8,1968.7,1994.8,2013.4,2033.5,2036.8
2017,1999.6,2019.6,2027.7,2040.1,2028.6,2003.6,1988.6,2028.2,2051.6,2076.3,2101.7,2105
2018,2069.5,2093.2,2101.2,2101.3,2094.5,2061.8,2056.9,2102.8,2122.5,2145.1,2169.3,2169.5
2019,2135.1,2155.4,2160.1,2166.5,2159.2,2126.5,2117.7,2160.4,,,,
