,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Code,C36159_BSICG,C36159_BSICT,C36159_DOZ,C36159_FOR10K,C36159_MDLNSAH,C36159_MDLSAAH,C36159_MLNSAH,C36159_MLSAAH,C36159_MTURN,C36159_NMLNSAH,C36159_NMLSAAH,C36159_SC,C36159_SCBT,C36159_SCMT,C36159_SCSA,C36159_SCSABT,C36159_SCSAMT,C36159_SCSATT,C36159_SCTT,C36159_SP,C36159_SPBT,C36159_SPFS,C36159_SPMT,C36159_SPTT,C36159_STLR
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-31,,,,8.17,,,,,,,,,,,,,,,,,,,,,
2008-02-29,,,,9.26,,,,,,,,,,,,,,,,,,,,,
2008-03-31,,,,9.89,,,,,0.0032,,,1302.0,484.0,365.0,1383.0,482.0,384.0,291.0,238.0,221500.0,156900.0,,244300.0,465500.0,
2008-04-30,,,,13.97,,,,,0.0039,,,1580.0,573.0,413.0,1341.0,487.0,349.0,260.0,314.0,212600.0,147400.0,,240300.0,428200.0,
2008-05-31,,,,14.8,,,,,0.0042,,,1721.0,628.0,502.0,1400.0,526.0,372.0,257.0,335.0,204600.0,137300.0,,233500.0,413900.0,
2008-06-30,,,,15.06,,,,,0.0044,,,1810.0,746.0,432.0,1519.0,598.0,380.0,280.0,346.0,195700.0,136200.0,,229900.0,412900.0,
2008-07-31,,,,19.41,,,,,0.0048,,,2007.0,910.0,471.0,1652.0,705.0,397.0,307.0,399.0,186600.0,134800.0,,225700.0,403100.0,
2008-08-31,,,,17.92,,,,,0.0046,,,1915.0,879.0,416.0,1733.0,789.0,384.0,313.0,321.0,176200.0,131400.0,,224300.0,386100.0,
2008-09-30,,,,19.51,,,,,0.0049,,,2027.0,1020.0,451.0,1898.0,914.0,413.0,324.0,296.0,167300.0,126400.0,,219900.0,367100.0,
2008-10-31,,,,22.2,,,,,0.0052,,,2137.0,1098.0,396.0,1986.0,996.0,410.0,321.0,353.0,154700.0,116600.0,,215600.0,380500.0,
2008-11-30,,,,18.88,,,,,0.0036,,,1514.0,894.0,222.0,2015.0,1051.0,386.0,314.0,202.0,140000.0,104300.0,,210900.0,381200.0,
2008-12-31,,,,18.86,,,,,0.0052,,,2135.0,1327.0,295.0,2100.0,1188.0,345.0,289.0,225.0,122700.0,88500.0,,205700.0,377600.0,
2009-01-31,,,,21.61,,,,,0.0046,,,1905.0,1221.0,242.0,2183.0,1291.0,329.0,252.0,171.0,107500.0,76900.0,,201300.0,354100.0,
2009-02-28,,,,23.16,,,,,0.0053,,,2205.0,1408.0,288.0,2404.0,1458.0,342.0,240.0,195.0,92700.0,65300.0,,197800.0,359400.0,
2009-03-31,,,,15.72,,,,,0.007,,,2917.0,1984.0,376.0,2535.0,1588.0,349.0,225.0,217.0,81600.0,56400.0,,193600.0,351200.0,
2009-04-30,,,,14.26,,,,,0.0077,,,3204.0,2110.0,369.0,2735.0,1790.0,339.0,246.0,340.0,74500.0,51100.0,,189600.0,353200.0,
2009-05-31,,,,17.12,,,,,0.0078,,,3251.0,2113.0,436.0,2854.0,1937.0,344.0,262.0,348.0,73600.0,50200.0,,184200.0,338900.0,
2009-06-30,,,,21.3,,,,,0.0095,,,3939.0,2180.0,609.0,3088.0,1973.0,398.0,381.0,672.0,81300.0,55300.0,,179900.0,374900.0,
2009-07-31,,,,23.52,,,,,0.0089,,,3663.0,2068.0,615.0,3232.0,1956.0,470.0,430.0,499.0,88200.0,60300.0,0.2479,175500.0,367400.0,
2009-08-31,,,,16.37,,,,,0.0071,,,2951.0,1579.0,512.0,3180.0,1807.0,505.0,448.0,371.0,95100.0,64900.0,0.2372,171100.0,356600.0,
2009-09-30,,,,17.55,,,,,0.007,,,2881.0,1548.0,530.0,3020.0,1684.0,511.0,393.0,361.0,95600.0,65900.0,0.2235,166400.0,322200.0,
2009-10-31,,,,19.15,,,,,0.0071,,,2954.0,1491.0,581.0,2865.0,1529.0,528.0,359.0,352.0,97400.0,66900.0,0.2072,160200.0,311200.0,
2009-11-30,,,,15.28,,,,,0.0065,,,2701.0,1189.0,586.0,3060.0,1473.0,644.0,451.0,455.0,104200.0,70100.0,0.1892,156300.0,340600.0,
2009-12-31,,,,18.11,,,,,0.0072,,,2952.0,1424.0,575.0,3151.0,1466.0,679.0,459.0,381.0,105000.0,68200.0,0.2161,154300.0,338400.0,
2010-01-31,,,105.0,17.24,,,,,0.0053,,,2196.0,1013.0,395.0,3083.0,1355.0,675.0,462.0,255.0,105100.0,68200.0,0.2186,152900.0,337100.0,0.9375
2010-02-28,,,106.5,17.0,,,,,0.0058,,,2378.0,1095.0,463.0,2887.0,1302.0,589.0,406.0,369.0,102200.0,65400.0,0.2279,149600.0,326000.0,0.93189964157706
2010-03-31,,,111.0,19.44,,,,,0.0078,,,3218.0,1508.0,662.0,2815.0,1249.0,582.0,398.0,428.0,102600.0,65000.0,0.2113,148400.0,324800.0,0.93165292749947
2010-04-30,,,108.0,17.96,,,,,0.0077,,,3107.0,1456.0,674.0,2864.0,1322.0,587.0,402.0,417.0,102700.0,62700.0,0.2063,150400.0,332100.0,0.92519328304138
2010-05-31,,,101.0,16.61,,,,,0.0075,,,3080.0,1359.0,718.0,2866.0,1349.0,600.0,375.0,445.0,102000.0,61500.0,0.2042,152000.0,312100.0,0.93918398768283
2010-06-30,,,101.0,18.33,,,,,0.008,,,3313.0,1433.0,716.0,2827.0,1310.0,595.0,383.0,498.0,103100.0,63500.0,0.1908,151500.0,307100.0,0.93135888501742
2010-07-31,,,87.0,20.12,,,,,0.0064,,,2652.0,1186.0,474.0,2687.0,1221.0,536.0,368.0,364.0,101700.0,63800.0,0.1882,148800.0,298800.0,0.92921423642812
2010-08-31,,,84.0,21.16,,,,,0.0066,,,2750.0,1205.0,502.0,2624.0,1185.0,490.0,364.0,388.0,97600.0,62600.0,0.1793,149800.0,305200.0,0.92159600099075
2010-09-30,,,98.0,21.81,,,,,0.0069,,,2870.0,1275.0,514.0,2641.0,1192.0,461.0,385.0,440.0,95200.0,60200.0,0.1969,147500.0,320800.0,0.91277890466531
2010-10-31,,,95.0,19.78,,,,,0.0063,,,2601.0,1135.0,490.0,2683.0,1198.0,488.0,392.0,351.0,94000.0,57800.0,0.2011,144700.0,325600.0,0.91358356110894
2010-11-30,5.31,0.09,88.0,14.41,,,,,0.006,,,2466.0,1243.0,418.0,2843.0,1280.0,529.0,413.0,308.0,90400.0,58000.0,0.2145,142500.0,318100.0,0.91190994371482
2010-12-31,6.25,0.19,101.0,16.54,,,,,0.0072,,,2982.0,1545.0,503.0,2948.0,1410.0,544.0,395.0,389.0,84900.0,54900.0,0.2552,142300.0,298700.0,0.89884616780155
2011-01-31,6.88,0.28,110.0,20.6,,,,,0.0063,,,2617.0,1229.0,436.0,3174.0,1503.0,591.0,467.0,401.0,84100.0,54800.0,0.2327,142100.0,309800.0,0.89742840444185
2011-02-28,6.88,0.38,105.0,16.54,,,,,0.0064,,,2635.0,1307.0,446.0,3170.0,1505.0,576.0,476.0,365.0,83600.0,52100.0,0.2474,139900.0,309900.0,0.8922691343744
2011-03-31,6.56,0.47,110.0,18.59,,,,,0.009,,,3709.0,1853.0,653.0,3240.0,1515.0,592.0,464.0,425.0,83600.0,53200.0,0.2405,138800.0,311700.0,0.89717223650386
2011-04-30,6.88,0.57,98.0,14.97,,,,,0.0085,,,3518.0,1704.0,617.0,3241.0,1583.0,560.0,407.0,442.0,80500.0,51800.0,0.2231,138900.0,304500.0,0.91262978576588
2011-05-31,6.56,0.66,93.0,14.41,,,,,0.0086,,,3534.0,1769.0,668.0,3280.0,1661.0,566.0,375.0,420.0,79800.0,51800.0,0.1927,137100.0,301200.0,0.92923516797713
2011-06-30,6.88,0.75,88.0,12.4,,,,,0.0091,,,3788.0,1758.0,733.0,3225.0,1612.0,569.0,397.0,550.0,81500.0,52100.0,0.18,136400.0,298500.0,0.93955129832082
2011-07-31,6.56,0.85,84.0,10.86,,,,,0.0075,,,3133.0,1429.0,629.0,3107.0,1521.0,572.0,397.0,435.0,83700.0,54300.0,0.1692,135400.0,287500.0,0.94972067039106
2011-08-31,7.19,0.94,87.0,10.03,,,,,0.0085,,,3454.0,1534.0,727.0,3126.0,1463.0,608.0,420.0,455.0,86200.0,55900.0,0.1685,133600.0,284500.0,0.95461411700082
2011-09-30,7.19,1.51,81.0,8.9,,,,,0.0072,,,2954.0,1258.0,620.0,3034.0,1367.0,610.0,430.0,447.0,88700.0,57200.0,0.1405,131800.0,284200.0,0.95397752496483
2011-10-31,7.19,1.98,83.0,6.55,,,,,0.0068,,,2821.0,1206.0,648.0,3000.0,1320.0,646.0,435.0,411.0,91000.0,57900.0,0.1439,130300.0,279100.0,0.95976459081634
2011-11-30,6.88,2.26,82.0,6.79,,,,,0.0066,,,2703.0,1107.0,563.0,3041.0,1248.0,685.0,491.0,431.0,94500.0,58300.0,0.1088,132200.0,286100.0,0.95943097997893
2011-12-31,6.88,2.83,85.0,8.03,,,,,0.0067,,,2822.0,1173.0,658.0,3060.0,1247.0,721.0,491.0,446.0,96800.0,56200.0,0.1042,133600.0,290400.0,0.95755464048147
2012-01-31,7.19,3.77,90.5,8.27,,,,,0.0059,,,3180.0,1802.0,542.0,3447.0,1540.0,767.0,528.0,368.0,91500.0,51200.0,0.0858,135300.0,294900.0,0.96260567043829
2012-02-29,7.19,4.81,99.0,5.56,,,,,0.0061,,,3347.0,1932.0,619.0,3618.0,1814.0,754.0,512.0,443.0,85800.0,46200.0,0.089,135200.0,297000.0,0.96470588235294
2012-03-31,7.5,5.94,83.0,7.25,,,,,0.0071,,,3830.0,2104.0,768.0,3783.0,2037.0,749.0,517.0,547.0,81200.0,43500.0,0.0731,135200.0,296700.0,0.97266711435687
2012-04-30,7.5,6.51,78.0,4.79,,,,,0.0069,,,3646.0,1887.0,721.0,3588.0,1941.0,696.0,513.0,567.0,84700.0,43100.0,0.0661,135100.0,306800.0,0.97886540600667
2012-05-31,7.19,6.98,81.0,6.62,,,,,0.0076,,,3964.0,1829.0,811.0,3483.0,1816.0,672.0,554.0,807.0,93300.0,43600.0,0.056,135500.0,322400.0,1.0
2012-06-30,7.81,7.26,78.0,5.34,,,,,0.0074,,,3963.0,1960.0,808.0,3442.0,1749.0,660.0,583.0,706.0,97100.0,43800.0,0.0487,139100.0,334100.0,1.0
2012-07-31,8.12,7.36,76.0,6.09,,,,,0.0071,,,3853.0,1951.0,799.0,3507.0,1766.0,683.0,622.0,690.0,101800.0,44900.0,0.0449,142400.0,339600.0,0.99213820284123
2012-08-31,8.12,7.55,76.0,6.94,,,,,0.0081,,,4204.0,1990.0,884.0,3630.0,1833.0,727.0,649.0,814.0,104300.0,46500.0,0.0376,145100.0,346300.0,1.0
2012-09-30,7.81,8.02,77.0,5.63,,,,,0.0061,,,3389.0,1787.0,676.0,3635.0,1857.0,726.0,639.0,512.0,106600.0,48200.0,0.0466,145500.0,348000.0,0.9866220735786
2012-10-31,7.5,8.4,73.0,5.44,,,,,0.007,,,3729.0,1755.0,757.0,3680.0,1829.0,749.0,659.0,689.0,111500.0,50800.0,0.0507,147600.0,357800.0,0.99535346676031
2012-11-30,7.19,8.21,83.0,4.01,,,,,0.0064,,,3398.0,1603.0,703.0,3774.0,1798.0,806.0,713.0,668.0,115700.0,52600.0,0.0403,151600.0,348800.0,0.98153846153846
2012-12-31,8.12,7.74,86.0,3.99,,,,,0.0066,,,3486.0,1682.0,658.0,3885.0,1803.0,823.0,753.0,624.0,119900.0,54000.0,0.0473,153900.0,365000.0,0.975
2013-01-31,8.12,6.79,88.0,4.33,4176.0,4224.0,6215.0,6113.0,0.006,1938.0,1868.0,3229.0,1575.0,597.0,3990.0,1822.0,859.0,788.0,557.0,122600.0,55600.0,0.0511,154700.0,368300.0,0.97307692307692
2013-02-28,7.81,6.6,90.0,3.7,4118.0,4127.0,5702.0,5842.0,0.0057,1855.0,1829.0,3246.0,1714.0,646.0,3840.0,1834.0,792.0,704.0,539.0,120800.0,56800.0,0.0385,155800.0,369400.0,0.96652083333333
2013-03-31,7.81,7.17,86.0,3.43,4221.0,4097.0,5857.0,5702.0,0.0071,1993.0,1753.0,3909.0,1947.0,783.0,3789.0,1823.0,791.0,669.0,628.0,122600.0,55700.0,0.0356,159500.0,352000.0,0.97449908925319
2013-04-30,7.19,7.64,78.0,3.87,4150.0,4099.0,6177.0,5868.0,0.0075,1893.0,1771.0,3979.0,1844.0,853.0,3678.0,1801.0,750.0,616.0,702.0,123500.0,54500.0,0.0374,164400.0,344600.0,0.97571385028486
2013-05-31,7.5,8.68,62.0,2.39,4160.0,4119.0,6430.0,6051.0,0.0081,2175.0,1900.0,4321.0,1969.0,959.0,3716.0,1796.0,756.0,652.0,928.0,129300.0,53900.0,0.0349,167700.0,353400.0,0.98098098098098
2013-06-30,7.5,9.25,63.0,2.35,4182.0,4241.0,6038.0,6154.0,0.0069,1951.0,2005.0,3865.0,1868.0,873.0,3622.0,1750.0,758.0,661.0,722.0,133800.0,55100.0,0.0272,169900.0,360000.0,0.98065086806439
