Date,C36159_BSICG,C36159_BSICT,C36159_DOZ,C36159_FOR10K,C36159_MDLNSAH,C36159_MDLSAAH,C36159_MLNSAH,C36159_MLSAAH,C36159_MTURN,C36159_NMLNSAH,C36159_NMLSAAH,C36159_SC,C36159_SCBT,C36159_SCMT,C36159_SCSA,C36159_SCSABT,C36159_SCSAMT,C36159_SCSATT,C36159_SCTT,C36159_SP,C36159_SPBT,C36159_SPFS,C36159_SPMT,C36159_SPTT,C36159_STLR
1/31/2008,,,,8.17,,,,,,,,,,,,,,,,,,,,,
2/29/2008,,,,9.26,,,,,,,,,,,,,,,,,,,,,
3/31/2008,,,,9.89,,,,,0.0032,,,1302,484,365,1383,482,384,291,238,221500,156900,,244300,465500,
4/30/2008,,,,13.97,,,,,0.0039,,,1580,573,413,1341,487,349,260,314,212600,147400,,240300,428200,
5/31/2008,,,,14.8,,,,,0.0042,,,1721,628,502,1400,526,372,257,335,204600,137300,,233500,413900,
6/30/2008,,,,15.06,,,,,0.0044,,,1810,746,432,1519,598,380,280,346,195700,136200,,229900,412900,
7/31/2008,,,,19.41,,,,,0.0048,,,2007,910,471,1652,705,397,307,399,186600,134800,,225700,403100,
8/31/2008,,,,17.92,,,,,0.0046,,,1915,879,416,1733,789,384,313,321,176200,131400,,224300,386100,
9/30/2008,,,,19.51,,,,,0.0049,,,2027,1020,451,1898,914,413,324,296,167300,126400,,219900,367100,
10/31/2008,,,,22.2,,,,,0.0052,,,2137,1098,396,1986,996,410,321,353,154700,116600,,215600,380500,
11/30/2008,,,,18.88,,,,,0.0036,,,1514,894,222,2015,1051,386,314,202,140000,104300,,210900,381200,
12/31/2008,,,,18.86,,,,,0.0052,,,2135,1327,295,2100,1188,345,289,225,122700,88500,,205700,377600,
1/31/2009,,,,21.61,,,,,0.0046,,,1905,1221,242,2183,1291,329,252,171,107500,76900,,201300,354100,
2/28/2009,,,,23.16,,,,,0.0053,,,2205,1408,288,2404,1458,342,240,195,92700,65300,,197800,359400,
3/31/2009,,,,15.72,,,,,0.007,,,2917,1984,376,2535,1588,349,225,217,81600,56400,,193600,351200,
4/30/2009,,,,14.26,,,,,0.0077,,,3204,2110,369,2735,1790,339,246,340,74500,51100,,189600,353200,
5/31/2009,,,,17.12,,,,,0.0078,,,3251,2113,436,2854,1937,344,262,348,73600,50200,,184200,338900,
6/30/2009,,,,21.3,,,,,0.0095,,,3939,2180,609,3088,1973,398,381,672,81300,55300,,179900,374900,
7/31/2009,,,,23.52,,,,,0.0089,,,3663,2068,615,3232,1956,470,430,499,88200,60300,0.2479,175500,367400,
8/31/2009,,,,16.37,,,,,0.0071,,,2951,1579,512,3180,1807,505,448,371,95100,64900,0.2372,171100,356600,
9/30/2009,,,,17.55,,,,,0.007,,,2881,1548,530,3020,1684,511,393,361,95600,65900,0.2235,166400,322200,
10/31/2009,,,,19.15,,,,,0.0071,,,2954,1491,581,2865,1529,528,359,352,97400,66900,0.2072,160200,311200,
11/30/2009,,,,15.28,,,,,0.0065,,,2701,1189,586,3060,1473,644,451,455,104200,70100,0.1892,156300,340600,
12/31/2009,,,,18.11,,,,,0.0072,,,2952,1424,575,3151,1466,679,459,381,105000,68200,0.2161,154300,338400,
1/31/2010,,,105,17.24,,,,,0.0053,,,2196,1013,395,3083,1355,675,462,255,105100,68200,0.2186,152900,337100,0.9375
2/28/2010,,,106.5,17,,,,,0.0058,,,2378,1095,463,2887,1302,589,406,369,102200,65400,0.2279,149600,326000,0.931899642
3/31/2010,,,111,19.44,,,,,0.0078,,,3218,1508,662,2815,1249,582,398,428,102600,65000,0.2113,148400,324800,0.931652927
4/30/2010,,,108,17.96,,,,,0.0077,,,3107,1456,674,2864,1322,587,402,417,102700,62700,0.2063,150400,332100,0.925193283
5/31/2010,,,101,16.61,,,,,0.0075,,,3080,1359,718,2866,1349,600,375,445,102000,61500,0.2042,152000,312100,0.939183988
6/30/2010,,,101,18.33,,,,,0.008,,,3313,1433,716,2827,1310,595,383,498,103100,63500,0.1908,151500,307100,0.931358885
7/31/2010,,,87,20.12,,,,,0.0064,,,2652,1186,474,2687,1221,536,368,364,101700,63800,0.1882,148800,298800,0.929214236
8/31/2010,,,84,21.16,,,,,0.0066,,,2750,1205,502,2624,1185,490,364,388,97600,62600,0.1793,149800,305200,0.921596001
9/30/2010,,,98,21.81,,,,,0.0069,,,2870,1275,514,2641,1192,461,385,440,95200,60200,0.1969,147500,320800,0.912778905
10/31/2010,,,95,19.78,,,,,0.0063,,,2601,1135,490,2683,1198,488,392,351,94000,57800,0.2011,144700,325600,0.913583561
11/30/2010,5.31,0.09,88,14.41,,,,,0.006,,,2466,1243,418,2843,1280,529,413,308,90400,58000,0.2145,142500,318100,0.911909944
12/31/2010,6.25,0.19,101,16.54,,,,,0.0072,,,2982,1545,503,2948,1410,544,395,389,84900,54900,0.2552,142300,298700,0.898846168
1/31/2011,6.88,0.28,110,20.6,,,,,0.0063,,,2617,1229,436,3174,1503,591,467,401,84100,54800,0.2327,142100,309800,0.897428404
